Location_ID,Business_Account_Number,Ownership_Name,DBA Name,Street_Address,City,State,Zip_Code,Business_Start_Date,Location Start Date,Mail_Address,Mail_City_State_Zip,Class Code,PBC Code
0053101-18-001,53101,GAP STORES INC,GAP THE #150,890 MARKET ST,San Francisco,CA,94102,12/10/1970 12:00:00 AM,09/29/1993 12:00:00 AM,PO BOX 27806,ALBUQUERQUE NM 87125-,8,5800
0053101-23-001,53101,GAP STORES INC,BABY GAP #8912,2159 CHESTNUT ST,San Francisco,CA,94123,12/10/1970 12:00:00 AM,01/01/2004 12:00:00 AM,PO BOX 27806,ALBUQUERQUE NM 87125-,8,5800
0053101-26-001,53101,GAP STORES INC,GAP KIDS #7437,200 BEACH ST,San Francisco,CA,94133,12/10/1970 12:00:00 AM,08/13/1999 12:00:00 AM,PO BOX 27806,ALBUQUERQUE NM 87125-,8,5800
0053101-27-001,53101,GAP STORES INC,GAP #164,1 JEFFERSON ST,San Francisco,CA,94133,12/10/1970 12:00:00 AM,12/31/2002 12:00:00 AM,PO BOX 27806,ALBUQUERQUE NM 87125-,8,5800
0053101-31-001,53101,GAP STORES INC,GAP BODY #143,2159 CHESTNUT ST,San Francisco,CA,94123,12/10/1970 12:00:00 AM,12/07/1999 12:00:00 AM,PO BOX 27806,ALBUQUERQUE NM 87125-,8,5800
0053101-33-001,53101,GAP STORES INC,GAP,550 TERRY FRANCOIS BLVD,San Francisco,CA,94108,12/10/1970 12:00:00 AM,01/01/2004 12:00:00 AM,PO BOX 27806,ALBUQUERQUE NM 87125-,8,5800
0053101-34-001,53101,GAP STORES INC,GAP,2 HARRISON STREET,San Francisco,CA,94108,12/10/1970 12:00:00 AM,01/01/2004 12:00:00 AM,PO BOX 27806,ALBUQUERQUE NM 87125-,8,5800
0053101-35-001,53101,GAP STORES INC,GAP,345 SPEAR ST,San Francisco,CA,94108,12/10/1970 12:00:00 AM,01/01/2004 12:00:00 AM,PO BOX 27806,ALBUQUERQUE NM 87125-,8,5800
0053101-36-001,53101,GAP STORES INC,GAP #1400,240 POST ST,San Francisco,CA,94108,12/10/1970 12:00:00 AM,09/26/2009 12:00:00 AM,PO BOX 27806,ALBUQUERQUE NM 87125-,8,5800
0053101-37-001,53101,GAP STORES INC,"THE GAP, INC",2 FOLSOM ST,San Francisco,CA,94105,12/10/1970 12:00:00 AM,01/01/2010 12:00:00 AM,PO BOX 27806,ALBUQUERQUE NM 87125-,8,5800
0053101-38-001,53101,GAP STORES INC,MISSION BAY CAFE,550 TERRY FRANCOIS ST,San Francisco,CA,94158,12/10/1970 12:00:00 AM,01/22/2007 12:00:00 AM,PO BOX 27806,ALBUQUERQUE NM 87125-,8,5800
0053544-01-001,53544,HARMAN ALBERT & HAZEL INC,KENTUCKY FRIED CHICKEN,4150 GEARY BLVD,San Francisco,CA,94118,05/08/1969 12:00:00 AM,05/08/1969 12:00:00 AM,5544 S GREEN ST,MURRAY UT 84123-5798,8,5800
0056163-02-001,56163,CONARD HOUSE INC,CONARD HOUSE INC,149 9TH ST 430,San Francisco,CA,94103,02/11/1994 12:00:00 AM,01/01/1997 12:00:00 AM,1385 MISSION ST 200,SAN FRANCISCO CA 94103-2631,8,5800
0056163-04-001,56163,CONARD HOUSE INC,CONARD 9TH STREET CAFE,160 9TH ST,San Francisco,CA,94103,02/11/1994 12:00:00 AM,03/30/1998 12:00:00 AM,1385 MISSION ST 200,SAN FRANCISCO CA 94103-2631,8,5800
0056163-05-001,56163,CONARD HOUSE INC,CONARD MONTGOMERY STREET CAFE,710 MONTGOMERY ST,San Francisco,CA,94111,02/11/1994 12:00:00 AM,02/01/2000 12:00:00 AM,1385 MISSION ST 200,SAN FRANCISCO CA 94103-2631,8,5800
0056891-01-001,56891,APB ENTERPRISES INC,PERRYS,1944 UNION ST,San Francisco,CA,94123,03/17/1970 12:00:00 AM,03/17/1970 12:00:00 AM,1944 UNION ST,SAN FRANCISCO CA 94123-4205,8,5800
0056952-01-001,56952,18TH ST BAR INC,PENDULUM INC,4146 18TH ST,San Francisco,CA,94114,01/01/1970 12:00:00 AM,01/01/1970 12:00:00 AM,4121 18TH ST,SAN FRANCISCO CA 94114-2407,8,5800
0056952-02-001,56952,18TH ST BAR INC,TOAD HALL,4146 18TH ST,San Francisco,CA,94114,01/01/1970 12:00:00 AM,11/22/2005 12:00:00 AM,4121 18TH ST,SAN FRANCISCO CA 94114-2407,8,5800
0056952-03-001,56952,18TH ST BAR INC,SAN FRANCISCO TOAD HALL,4146 18TH ST,San Francisco,CA,94114,01/01/1970 12:00:00 AM,11/22/2005 12:00:00 AM,4121 18TH ST,SAN FRANCISCO CA 94114-2407,8,5800
0059357-01-001,59357,STAVRINIDES BEATRICE,LA CUCINA,2136 UNION ST,San Francisco,CA,94123,01/01/1970 12:00:00 AM,01/01/1970 12:00:00 AM,2136 UNION ST,SAN FRANCISCO CA 94123-4004,8,3079
0060465-02-001,60465,SHAMIYA BASSAM,OSCAR'S BURGER & DELI,1850 CESAR CHAVEZ ST,San Francisco,CA,94124,08/01/2005 12:00:00 AM,08/01/2005 12:00:00 AM,3931 PACIFIC HTS BLVD,SAN BRUNO CA 94066-1032,8,3079
0060562-01-001,60562,HARMAN GARDIN INC,KENTUCKY FRIED CHICKEN,200 DUBOCE AVE,San Francisco,CA,94103,09/24/1970 12:00:00 AM,09/24/1970 12:00:00 AM,5544 SOUTH GREEN ST,MURRAY UT 84123-0000,8,5800
0060906-01-001,60906,JUSTICE INVESTORS LP,JUSTICE INVESTORS,750 KEARNY ST LOBBY LEVEL,San Francisco,CA,94108,12/07/1970 12:00:00 AM,02/14/1996 12:00:00 AM,750 KEARNY ST.RM 502,SAN FRANCISCO CA 94108-1860,8,5812
0060906-04-001,60906,JUSTICE INVESTORS LP,ACE PARKING,750 KEARNY ST 502,San Francisco,CA,94108,12/07/1970 12:00:00 AM,12/01/2008 12:00:00 AM,750 KEARNY ST.RM 502,SAN FRANCISCO CA 94108-1860,8,5812
0060906-05-001,60906,JUSTICE INVESTORS LP,HILTON S F FINANCIAL DISTRICT,750 KEARNY ST 502,San Francisco,CA,94108,12/07/1970 12:00:00 AM,12/01/2008 12:00:00 AM,750 KEARNY ST.RM 502,SAN FRANCISCO CA 94108-1860,8,5812
0060906-06-001,60906,JUSTICE INVESTORS LP,FLUTE COFFEE AND WINE BAR,750 KEARNY ST,San Francisco,CA,94108,12/07/1970 12:00:00 AM,03/30/2006 12:00:00 AM,750 KEARNY ST.RM 502,SAN FRANCISCO CA 94108-1860,8,5812
0061822-01-001,61822,HARMAN BONILLA INC,KENTUCKY FRIED CHICKEN,1881 GEARY BLVD,San Francisco,CA,94115,11/02/1968 12:00:00 AM,11/02/1968 12:00:00 AM,5544 SOUTH GREEN ST,MURRAY UT 84123-5798,8,5800
0061833-01-001,61833,HARMAN-OSCAR & LISA INC,KENTUCKY FRIED CHICKEN,4285 MISSION ST,San Francisco,CA,94112,10/01/1968 12:00:00 AM,08/08/2005 12:00:00 AM,5544 SOUTH GREEN ST,MURRAY UT 84123-0000,8,5800
0062421-01-001,62421,VIOTTI FAMILY REV LIVING TR,2629 FOLSOM APTS,2629 FOLSOM ST,San Francisco,CA,94110,10/01/1968 12:00:00 AM,10/01/1968 12:00:00 AM,P.O. BOX 590206,SAN FRANCISCO CA 94159-0206,8,3079
0062988-01-001,62988,NORTH BEACH RESTAURANT INC,NORTH BEACH RESTAURANT INC,1512 STOCKTON ST,San Francisco,CA,94133,07/01/1970 12:00:00 AM,07/01/1970 12:00:00 AM,1512 STOCKTON ST,SAN FRANCISCO CA 94133-3354,8,5800
